#indacator:tab
#html:false
RU	[D R: [E', R2]]
RC	[R: [E', R2]]
RW	[D' R: [E', R2]]
RZ	[Uw2 L: [E', L2]]
SD	[M' U: [M', U2]]
SE	[S, R B R']
SF	[M: [R' E R, U]]
SG	[Lw: [R E' R', U]]
SH	[M: [R E' R', U]]
SJ	[R, U' M U]
SK	M U' M' U2 M' U M U2
SL	[Lw' U: [M', U2]]
SN	[Lw U': [U', Lw' E Lw]]
SO	[S', R B R']
SP	[Lw U': [U', Lw E' Lw']]
SR	[U': [U' L U, M]]
ST	[R', U' M U]
SU	[U D': [R F R', S']]
SC	[S' U: [M, U2]]
SZ	[R' B R: [S', R2]]
TD	[L E2 L', U2]
TE	[U' M' U, R']
TF	[R' U': [E, R U R']]
TG	[D: [U M' U', R']]
TH	[U: [R' U' R, E']]
TJ	[U2 R: [S, R2]]
TK	[U M' U', R']
TL	[U R U' R: [E, R2]]
TO	[R' U: [E', R U' R']]
TP	[U': [R' U R, E]]
TR	[U R U' R': [E', R2]]
TS	[U' M U, R']
TU	[U' M2 U, R']
TC	[E2 R': [E, R2]]
TW	[U M2 U', R']
TZ	[U2 L': [E, L2]]
UD	[U: [M', U2]]
UE	[L F L', S']
UF	[F, L' S' L]
UG	[U L F': [E', L2]]
UH	[S R' F': [R2, E']]
UJ	[R, U' M2 U]
UL	[D R: [E, R2]]
UN	[Fw' R': [S, R2]]
UO	[R F' R', S]
UP	[L F: [L' S' L, F]]
UR	[D R': [E', R2]]
US	[U D': [S', R F R']]
UT	[R', U' M2 U]
UC	[R' D' R': [S', R2]]
UW	Uw' M' Uw2 M' Uw'
UZ	[S' R' F' R': [S, R2]]
CD	[R2, S]
CE	[D': [L F L', S']]
CF	[E' R': [E', R2]]
CG	[U: [S, L' F' L]]
CH	[E R: [E, R2]]
CJ	[E2 R': [E', R2]]
CK	[S' U: [M', U2]]
CL	[R: [E, R2]]
CN	[E R': [E', R2]]
CP	[E' R: [E, R2]]
CR	[R': [E', R2]]
CS	[S' U': [M, U2]]
CT	[E2 R: [E, R2]]
CU	[R' D' R: [S', R2]]
CW	[R' D R: [S', R2]]
CZ	[S', R2]
WD	[U': [M, U2]]
WE	[L' B' L, S']
WF	[Lw': [S, R' F' R]]
WG	[D L F L': [S', L2]]
WH	[Lw: [Lw F' Lw', S']]
WJ	[R, U M2 U']
WK	[Rw: [M', U' R' U]]
WL	[D' R: [E, R2]]
WN	[Rw' U': [L E' L', U']]
WO	[R' B R, S]
WP	[Rw' Uw R: [E, R2]]
WR	[D' R': [E', R2]]
WT	[R', U M2 U']
WU	Uw M Uw2 M Uw
WC	[R' D R': [S', R2]]
WZ	[S' R B R: [S, R2]]
ZD	[S', L2]
ZE	[D: [L F L', S']]
ZF	[U' Uw' L': [E', L2]]
ZH	[U Uw L: [E, L2]]
ZJ	[U2 L': [E', L2]]
ZK	[L F L': [S', L2]]
ZL	[Uw2 L: [E, L2]]
ZN	[U Uw L': [E', L2]]
ZO	[U: [S', R F R']]
ZP	[U' Uw' L: [E, L2]]
ZR	[Uw2 L': [E', L2]]
ZS	[R' B R': [S', R2]]
ZT	[U2 L: [E, L2]]
ZU	[S' R' F' R: [S, R2]]
ZC	[R2, S']
ZW	[S' R B R': [S, R2]]
