#indacator:tab
#html:false
PL	[E', L' U L]
PM	[S': [L E' L', U]]
PN	[M' U' R': [S, R2]]
PO	[R', U' S U]
PQ	[U R U', M']
PR	[L2: [E', L' U L]]
PS	[U M: [U', L E' L']]
PT	[E, R' U' R]
PU	[R2 F': [E, R2]]
PC	[U' E' R': [E, R2]]
PW	[M: [U R U', M2]]
PZ	[U E L': [E, L2]]
QB	[R' U' R U, M]
QD	[L U L' U', M]
QE	[Lw': [U' L U, M]]
QF	[M', U' L' U]
QG	[U' D: [R' F' R, S]]
QH	[M', U' L U]
QJ	[U' R U, M]
QK	[U': [R' F' R, S]]
QL	[U L' U', M]
QM	[Rw: [U R' U', M]]
QN	[M', U R' U']
QO	[U' D': [R' F' R, S]]
QP	[M', U R U']
QR	[U L U', M]
QS	[U': [R B R', S]]
QT	[U' R' U, M]
QU	[U: [S, R' F' R]]
QC	[U D': [S, R' F' R]]
QW	[U: [S, R B R']]
QZ	[U D: [S, R' F' R]]
RA	[L' U': [S', L2]]
RB	[R' E2 R, U']
RD	[E': [L' E L, U]]
RE	[U' Lw U': [M', U2]]
RF	[L U L', E']
RG	[S' U' R: [E', R2]]
RJ	[R' U' R: [E', R2]]
RK	[M', U L U']
RL	[U' L': [S', L2]]
RM	[S U' R: [E', R2]]
RN	[L U L', E]
RO	[R' E': [E', R U' R']]
RP	[L: [U, L E' L']]
RQ	[M, U L U']
RS	[U2: [M, U' L U]]
RT	[R U' R: [E', R2]]
RU	[U' L U': [M', U2]]
RC	[U' R: [E', R2]]
RW	[M2, U L U']
RZ	[U' D2 R: [E', R2]]
SA	[U M' U': [M', U2]]
SB	(M U' M' U')2
SD	(M U M' U)2
SE	M' (M' U' M U')2 M
SF	[U' Rw': [E, R U R']]
SG	[U: [R' D R, S']]
SH	[U' M: [R E' R', U]]
SJ	[U': [R, U' M U]]
SK	U' M U' M' U2 M' U M U'
SL	[U: [L', U M U']]
SM	M' (M' U M U)2 M
SN	[U Rw': [S', R U' R']]
SO	[U': [S', R B R']]
SP	[U Lw: [E', L' U' L]]
SQ	[U': [S, R B R']]
SR	[U: [L, U M U']]
ST	[U': [R', U' M U]]
SU	[D': [R F R', S']]
SC	[D' R' F': [E, R2]]
SZ	[D L F: [E', L2]]
TA	[R U: [S, R2]]
TB	[E: [R E' R', U']]
TD	[L E2 L', U]
TE	[S' U L': [E, L2]]
TF	[R': [U', R' E R]]
TG	[R S: [S, R' U R]]
TH	[R' U' R, E']
TJ	[U R: [S, R2]]
TK	[M', U' R' U]
TL	[R U' R: [E, R2]]
TM	[R Uw' R': [E', R2]]
TO	[S U L': [E, L2]]
TP	[R' U' R, E]
TQ	[M, U' R' U]
TR	[R U' R': [E', R2]]
TS	[U2: [M, U R' U']]
TU	[U R' U: [M', U2]]
TC	[U D2 L': [E, L2]]
TW	[M2, U' R' U]
TZ	[U L': [E, L2]]
UA	[M', U2]
UB	[U, M U2 M]
UD	[U', M U2 M]
UE	[L' F': [E', L2]]
UF	[L2 F': [E', L2]]
UG	[L F': [E', L2]]
UH	[F': [E', L2]]
UJ	[U R U': [M', U2]]
UL	[U' L' U: [M', U2]]
UM	[R F: [E, R2]]
UN	[F: [E, R2]]
UO	[R' F: [E, R2]]
UP	[R2 F: [E, R2]]
UQ	[U: [R' F' R, S]]
UR	[U' L U: [M', U2]]
US	[D': [S', R F R']]
UT	[U R' U': [M', U2]]
UC	[R' F: [R S' R', F2]]
UW	Uw2 M' Uw2 M'
UZ	[L F': [L' S L, F2]]
CA	[U: [S, R2]]
CB	[R U R': [S, R2]]
CD	R' U' R U R U R U' R' U'
CE	[Rw: [L E' L', U']]
CF	[U' E' R': [E', R2]]
CG	[S, L' F' L]
CH	[Uw' R: [E, R2]]
CJ	[U D2 L': [E', L2]]
CK	[U R' F' R: [S, R2]]
CL	[U' R: [E, R2]]
CM	[S', R' F R]
CN	[Uw' R': [E', R2]]
CP	[U' E' R: [E, R2]]
CQ	[U D': [R' F' R, S]]
CR	[U' R': [E', R2]]
CS	[D' R' F: [E, R2]]
CT	[U D2 L: [E, L2]]
CU	[R' F': [R S' R', F2]]
CW	[D' R' F: [R S' R', F2]]
CZ	[U': [S', R2]]
WA	[U2, M]
WB	[R U' R' U, M2]
WD	[L' U L U', M2]
WE	[D: [S, L F' L']]
WF	[M': [U' L' U, M2]]
WG	[U: [L B' L', S']]
WH	[M': [U' L U, M2]]
WJ	[U' R U, M2]
WK	[D: [S', R F R']]
WL	[U L' U', M2]
WM	[D': [S', R' F R]]
WN	[M': [U R' U', M2]]
WO	[U': [R' B R, S]]
WP	[M': [U R U', M2]]
WQ	[U: [R B R', S]]
WR	[U L U', M2]
WT	[U' R' U, M2]
WU	M Uw2 M Uw2
WC	[D' R' F': [R S' R', F2]]
WZ	[D L F: [L' S L, F2]]
ZA	[U': [S', L2]]
ZB	L U L' U' L' U' L' U L U
ZD	[L U' L': [S', L2]]
ZE	[S, L F' L']
ZF	[U E L': [E', L2]]
ZH	[Uw L: [E, L2]]
ZJ	[U L': [E', L2]]
ZK	[U' L F L': [S', L2]]
ZL	[U' D2 R: [E, R2]]
ZM	[R2: [S', R F R']]
ZN	[Uw L': [E', L2]]
ZO	[S', R F R']
ZP	[U E L: [E, L2]]
ZQ	[U D: [R' F' R, S]]
ZR	[U' D2 R': [E', R2]]
ZS	[D L F': [E', L2]]
ZT	[U L: [E, L2]]
ZU	[L F: [L' S L, F2]]
ZC	[U': [R2, S']]
ZW	[D L F': [L' S L, F2]]
