#separator:tab
#html:false
TD	[L E2 L', U']
TE	[S' U' L': [E, L2]]
TF	[R': [U, R' E R]]
TG	[R S: [S, R' U' R]]
TH	[R' U R, E']
TJ	[U' R: [S, R2]]
TK	[U: [U M' U', R']]
TL	[R U R: [E, R2]]
TM	[Lw U: [U, Lw' E Lw]]
TO	[S U' L': [E, L2]]
TP	[R' U R, E]
TR	[R U R': [E', R2]]
TS	[M, U R' U']
TU	[M2, U R' U']
TC	[U' D2 L': [E, L2]]
TW	[U' R' U': [M, U2]]
TZ	[U' L': [E, L2]]
UB	[R: [U R' U', M2]]
UD	[L': [U' L U, M2]]
UE	[Lw': [M2, U L U']]
UF	[M: [U L' U', M2]]
UG	[U': [L' F L, S']]
UH	[M: [U L U', M2]]
UJ	[U R U', M2]
UL	[U' L' U, M2]
UM	[Rw: [M2, U' R' U]]
UN	[M: [U' R' U, M2]]
UO	[U: [R F' R', S]]
UP	[M: [U' R U, M2]]
UR	[U' L U, M2]
US	[D': [S', R' B' R]]
UT	[U R' U', M2]
UC	[R U' D' L': [E', L2]]
UW	M' Uw2 M' Uw2
UZ	[L' U D R: [E, R2]]
CB	[R U' R': [S, R2]]
CD	[Rw' F R': [S, R2]]
CE	[Rw': [Rw' S' Rw, U]]
CF	[Uw R': [E', R2]]
CG	[S, L B L']
CH	[U E R: [E, R2]]
CJ	[U' D2 L': [E', L2]]
CK	[U' R' F' R: [S, R2]]
CL	[U R: [E, R2]]
CM	[S', R B' R']
CN	[U E R': [E', R2]]
CP	[Uw R: [E, R2]]
CR	[U R': [E', R2]]
CS	[D L' B: [E, L2]]
CT	[U' D2 L: [E, L2]]
CU	[R U' D' L: [E', L2]]
CW	[Rw' U': [Rw' S' Rw, U2]]
CZ	[U: [S', R2]]
WB	[U', M' U2 M']
WD	[U, M' U2 M']
WE	[L B: [E, L2]]
WF	[Lw U: [S', L2]]
WG	[M U: [S', L2]]
WH	[L2 B: [E, L2]]
WJ	[U' R U: [M, U2]]
WK	[D: [S', R' B' R]]
WL	[U L' U': [M, U2]]
WM	[R' B': [E', R2]]
WN	[R2 B': [E', R2]]
WO	[M U': [S, R2]]
WP	[Rw' U': [S, R2]]
WR	[U L U': [M, U2]]
WT	[U' R' U: [M, U2]]
WU	Uw2 M Uw2 M
WC	[Rw' U: [Rw' S' Rw, U2]]
WZ	[Rw' U: [Rw' S Rw, U2]]
ZB	[Lw F' L: [S', L2]]
ZD	L' U L: [S', L2]]
ZE	[S, L' B L]
ZF	[Uw' L': [E', L2]]
ZH	[U' E' L: [E, L2]]
ZJ	[U' L': [E', L2]]
ZK	[U L F L': [S', L2]]
ZL	[U D2 R: [E, R2]]
ZM	[Lw: [R E' R', U']]
ZN	[U' E' L': [E', L2]]
ZO	[S', R' B' R]
ZP	[Uw' L: [E, L2]]
ZR	[U D2 R': [E', R2]]
ZS	[D' R B': [E', R2]]
ZT	[U' L: [E, L2]]
ZU	[L' U D R': [E, R2]]
ZC	[U: [R2, S']]
ZW	[Rw' U': [Rw' S Rw, U2]]
